,Rank,Company,Revenues  ($ millions),Profits  ($ millions),Year
58,59,ARMCO,3046.7,116.7,1976
59,60,Sperry,3040.9,131.4,1976
60,61,Getty Oil,2983.6,256.7,1976
61,62,Deere,2955.2,179.1,1976
62,63,Marathon Oil,2878.2,128.1,1976
63,64,Coca-Cola,2872.8,239.3,1976
64,65,American Can,2870.2,77.3,1976
65,66,Colgate-Palmolive,2860.5,119.0,1976
66,67,Honeywell,2760.1,77.8,1976
67,68,Bestfoods,2741.5,109.2,1976
68,69,Gulf & Western Industries,2602.1,140.1,1976
69,70,Bendix,2589.7,79.8,1976
70,71,TRW,2585.7,103.9,1976
71,72,Fortune Brands,2569.7,148.5,1976
72,73,Singer,2568.0,-451.9,1976
73,74,Altria Group,2564.0,211.6,1976
74,75,Sara Lee,2535.8,12.7,1976
75,76,BP America,2484.2,126.6,1976
76,77,Textron,2459.1,96.0,1976
77,78,Weyerhaeuser,2421.3,191.9,1976
78,79,Champion International,2399.3,61.0,1976
79,80,Georgia-Pacific,2358.6,148.0,1976
80,81,Republic Steel,2333.3,72.2,1976
81,82,Honeywell Intl.,2333.1,116.2,1976
82,83,PepsiCo,2321.2,104.6,1976
83,84,General Mills,2308.9,76.2,1976
84,85,Alcoa,2305.9,64.8,1976
85,86,FMC,2291.9,108.2,1976
86,87,American Motors,2282.2,-27.5,1976
87,88,Owens-Illinois,2273.2,87.3,1976
88,89,Wyeth,2258.6,250.7,1976
89,90,Raytheon,2245.4,71.0,1976
90,91,National Intergroup,2241.2,58.0,1976
91,92,Johnson & Johnson,2224.7,183.8,1976
92,93,Uniroyal,2187.6,23.0,1976
93,94,Chiquita Brands Intl.,2186.5,10.8,1976
94,95,Warner-Lambert,2172.3,163.9,1976
95,96,NCR,2165.6,72.5,1976
96,97,Signal Companies,2162.9,41.1,1976
97,98,General Dynamics,2160.0,84.5,1976
98,99,Ryerson Tull,2107.4,83.3,1976
99,100,Carnation,2075.3,88.5,1976
0,101,Dresser Industries,2011.6,123.9,1976
1,102,Pullman,2007.0,39.4,1976
2,103,Nabisco Brands,1970.8,59.0,1976
3,104,Burlington Industries Equity,1958.1,39.8,1976
4,105,CBS,1938.9,122.9,1976
5,106,American Cyanamid,1928.4,147.7,1976
6,107,Goodrich,1901.2,25.6,1976
7,108,Celanese,1900.0,50.0,1976
8,109,PPG Industries,1886.6,89.0,1976
9,110,Bristol-Myers Squibb,1827.7,141.7,1976
10,111,Archer Daniels Midland,1822.9,35.0,1976
11,112,Norton Simon,1815.2,82.8,1976
12,113,Iowa Beef Processors,1805.3,23.2,1976
13,114,Standard Brands,1799.9,66.9,1976
14,115,Kerr-McGee,1798.6,131.1,1976
15,116,Central Soya,1789.3,21.0,1976
16,117,Crown Zellerbach,1758.1,74.5,1976
17,118,GenCorp,1752.0,62.4,1976
18,119,Teledyne,1715.0,101.7,1976
19,120,Combustion Engineering,1711.2,44.6,1976
20,121,Ingersoll-Rand,1708.3,119.2,1976
21,122,Amstar,1687.0,39.0,1976
22,123,Reynolds Metals,1679.3,60.0,1976
23,124,Unisys,1675.6,164.4,1976
24,125,Pfizer,1665.5,147.7,1976
25,126,H.J. Heinz,1662.7,66.6,1976
26,127,Anheuser-Busch,1645.0,84.7,1976
27,128,BorgWarner,1639.0,44.5,1976
28,129,American Standard,1622.3,44.8,1976
29,130,Kaisertech,1578.1,94.7,1976
30,131,Babcock & Wilcox,1565.0,42.3,1976
31,132,Eaton,1558.3,47.0,1976
32,133,Campbell Soup,1545.6,87.0,1976
33,134,Lykes,1517.8,56.9,1976
34,135,Farmland Industries,1507.8,N.A.,1976
35,136,Whitman,1504.8,48.6,1976
36,137,Brink's,1504.2,200.1,1976
37,138,Ogden,1491.3,47.0,1976
38,139,Merck,1489.7,228.8,1976
39,140,Kimberly-Clark,1483.7,102.5,1976
40,141,Associated Milk Producers,1477.9,N.A.,1976
41,142,Whirlpool,1467.6,58.9,1976
42,143,OfficeMax,1458.0,63.9,1976
43,144,Allis-Chalmers,1443.3,29.4,1976
44,145,Clark Equipment,1424.6,46.6,1976
45,146,Hercules,1413.1,32.5,1976
46,147,North American Philips,1409.8,31.4,1976
47,148,Gillette,1406.9,80.0,1976
48,149,Studebaker-Worthington,1396.2,29.9,1976
49,150,St. Regis,1394.8,95.9,1976
50,151,Quaker Oats,1389.0,31.0,1976
51,152,Texas Instruments,1367.6,62.1,1976
52,153,U.S. Industries,1341.6,10.5,1976
53,154,Agway,1329.4,N.A.,1976
54,155,Grumman,1328.6,23.5,1976
55,156,Motorola,1311.8,41.1,1976
56,157,Imcera Group,1302.9,166.0,1976
57,158,Avon Products,1295.1,139.0,1976
58,159,Safety-Kleen,1287.5,27.9,1976
59,160,Dart Industries,1280.4,79.0,1976
60,161,NL Industries,1279.3,45.6,1976
61,162,Del Monte Foods,1279.3,47.2,1976
62,163,Olin,1260.6,59.4,1976
63,164,Emerson Electric,1250.3,96.2,1976
64,165,Mead,1244.6,52.8,1976
65,166,Walter Industries,1237.3,70.0,1976
66,167,Eli Lilly,1233.7,181.3,1976
67,168,White Consolidated Industries,1229.9,46.9,1976
68,169,White Motor,1228.7,-69.4,1976
69,170,Control Data,1218.2,41.5,1976
70,171,Furniture Brands Intl.,1217.9,53.6,1976
71,172,Kellogg,1213.6,103.0,1976
72,173,Pillsbury,1197.4,30.9,1976
73,174,Scott Paper,1191.9,64.8,1976
74,175,Fruit of the Loom,1187.5,101.1,1976
75,176,Kidde,1155.9,43.2,1976
76,177,Dana,1136.5,62.2,1976
77,178,Maxus Energy,1129.3,114.3,1976
78,179,Heublein,1124.2,61.5,1976
79,180,Land O'Lakes,1124.0,N.A.,1976
80,181,J.P. Stevens,1123.0,19.9,1976
81,182,Crane,1119.5,63.6,1976
82,183,Squibb,1111.0,98.2,1976
83,184,Manville,1107.0,38.4,1976
84,185,Genesco,1096.0,-14.3,1976
85,186,Fruehauf,1094.4,25.1,1976
86,187,Williams,1090.1,123.8,1976
87,188,Anaconda,1087.8,-39.8,1976
88,189,Pennzoil,1078.3,106.8,1976
89,190,Koppers,1075.5,60.3,1976
90,191,American Broadcasting,1064.6,17.1,1976
91,192,Oscar Mayer,1054.6,27.0,1976
92,193,Martin Marietta,1053.4,55.4,1976
93,194,Rohm & Haas,1046.0,23.0,1976
94,195,Ethyl,1029.2,61.0,1976
95,196,Coltec Industries,1022.8,52.1,1976
96,197,Charter,1021.8,5.4,1976
97,198,Foster Wheeler,1020.9,14.1,1976
98,199,Kaiser Industries,1016.2,78.8,1976
99,200,Levi Strauss,1015.2,64.7,1976
0,201,Pet,1008.5,23.2,1976
1,202,AMF,1004.7,32.1,1976
2,203,Asarco,1004.6,25.4,1976
3,204,Hormel Foods,995.6,13.4,1976
4,205,Northrop Grumman,988.1,24.7,1976
5,206,FINA,986.0,40.2,1976
6,207,Hewlett-Packard,981.2,83.6,1976
7,208,United Merchants & Mfrs.,978.1,-18.5,1976
8,209,Container Corp. of America,964.7,74.6,1976
9,210,GAF,964.4,30.9,1976
10,211,AMAX,962.1,134.4,1976
11,212,Sterling Drug,957.1,82.1,1976
12,213,Stauffer Chemical,949.8,98.7,1976
13,214,Quantum Chemical,942.6,62.4,1976
14,215,Abbott Laboratories,940.7,70.7,1976
15,216,Corning,939.0,31.1,1976
16,217,Ikon Office Solutions,932.0,31.2,1976
17,218,Murphy Oil,931.0,40.1,1976
18,219,Carrier,929.9,13.5,1976
19,220,Jos. Schlitz Brewing,923.0,30.9,1976
20,221,Time Warner,910.7,45.1,1976
21,222,Zenith Electronics,900.5,30.8,1976
22,223,Pharmacia,890.8,66.7,1976
23,224,Owens Corning,884.9,41.8,1976
24,225,Anderson Clayton,878.9,31.5,1976
25,226,McGraw-Edison,874.6,37.7,1976
26,227,Sherwin-Williams,866.9,28.6,1976
27,228,Armstrong Holdings,859.4,36.6,1976
28,229,Sunbeam/Oster,852.7,23.1,1976
29,230,Castle & Cooke,843.1,38.2,1976
30,231,Union Camp,835.9,88.7,1976
31,232,J.E. Seagram,835.4,29.1,1976
32,233,Intl. Multifoods,828.2,14.1,1976
33,234,Wheeling Pittsburgh,826.7,0.6,1976
34,235,Crown Holdings,825.0,41.6,1976
35,236,USG,820.4,30.5,1976
36,237,Brunswick,818.0,18.1,1976
37,238,Tesoro,815.8,42.9,1976
38,239,Gold Kist Holdings,815.2,N.A.,1976
39,240,Polaroid,812.7,62.6,1976
40,241,MCA,811.5,95.5,1976
41,242,Timken,804.5,61.3,1976
42,243,Times Mirror,799.5,47.2,1976
43,244,National Can,799.1,18.7,1976
44,245,Westvaco,797.5,39.1,1976
45,246,Budd,794.1,9.6,1976
46,247,Schering-Plough,793.3,138.9,1976
47,248,Allegheny International,792.0,30.1,1976
48,249,Chromalloy American,791.4,21.7,1976
49,250,Cummins,789.2,0.5,1976
50,251,Commonwealth Oil Refining,783.8,-24.2,1976
51,252,Phelps Dodge,780.8,46.4,1976
52,253,Diamond International,779.1,49.2,1976
53,254,Staley Continental,776.8,50.4,1976
54,255,Evans Products,774.3,12.7,1976
55,256,Gould,772.9,37.1,1976
56,257,Kennecott,768.6,21.7,1976
57,258,Eltra,766.6,36.5,1976
58,259,BOC,765.7,42.7,1976
59,260,Universal Leaf Tobacco,760.5,14.0,1976
60,261,Brown Shoe,752.1,13.1,1976
61,262,Revlon,749.8,62.6,1976
62,263,Lever Brothers,747.5,11.3,1976
63,264,St. Joe Minerals,729.4,81.7,1976
64,265,Clorox,721.5,21.1,1976
65,266,Pennwalt Corp,713.7,33.4,1976
66,267,Whittaker,712.6,3.0,1976
67,268,G.D. Searle,711.8,80.5,1976
68,269,MBPXL,708.8,5.7,1976
69,270,Peabody Holding,705.9,40.8,1976
70,271,Air Products & Chem.,699.0,54.2,1976
71,272,Paccar,689.9,20.6,1976
72,273,Utah International,686.3,111.6,1976
73,274,Aeroquip-Vickers,684.1,31.9,1976
74,275,Akzona,681.7,7.9,1976
75,276,USM,678.9,10.2,1976
76,277,Liggett Group,676.0,36.2,1976
77,278,Chesebrough-Pond's,674.6,47.9,1976
78,279,Warner Communications,669.8,9.1,1976
79,280,Campbell Taggart,667.8,18.6,1976
80,281,General Host,667.6,9.4,1976
81,282,Richardson-Vicks,658.7,44.6,1976
82,283,Kane-Miller,657.5,10.2,1976
83,284,Black & Decker,653.9,35.4,1976
84,285,Avco,650.7,60.8,1976
85,286,Interlake,650.5,34.4,1976
86,287,Great Northern Nekoosa,647.1,42.5,1976
87,288,Reliance Electric,643.1,35.0,1976
88,289,Lear Siegler,642.5,19.3,1976
89,290,American Beef Packers,631.8,-32.8,1976
90,291,Lone Star Industries,611.5,19.3,1976
91,292,Premcor,600.4,5.2,1976
92,293,Cerro,599.2,-2.4,1976
93,294,Hoover,593.7,11.9,1976
94,295,Knight-Ridder,593.6,32.7,1976
95,296,Eastern Gas & Fuel Associates,591.9,58.0,1976
96,297,US Pharmaceuticals,588.7,63.6,1976
97,298,AM International,584.2,4.9,1976
98,299,Trans Union,578.8,16.8,1976
99,300,ConAgra Foods,573.5,4.1,1976
0,301,Blue Bell,568.6,25.8,1976
1,302,Hershey Foods,568.3,33.0,1976
2,303,GATX,567.6,44.7,1976
3,304,ACF Industries,567.0,30.7,1976
4,305,CBI Industries,564.4,41.2,1976
5,306,Baxter International,564.1,44.5,1976
6,307,Carborundum,563.1,27.2,1976
7,308,Mohasco,560.3,10.2,1976
8,309,A.O. Smith,559.8,-8.8,1976
9,310,Apogent Technologies,557.7,25.4,1976
10,311,Joy Technologies,555.3,38.5,1976
11,312,Rexnord,553.9,25.1,1976
12,313,Certainteed,553.0,19.5,1976
13,314,Sperry & Hutchinson,550.9,10.2,1976
14,315,Norton,548.3,20.9,1976
15,316,General Signal,547.7,24.5,1976
16,317,Springs Industries,543.1,6.6,1976
17,318,Bemis,541.6,8.6,1976
18,319,Avnet,541.5,26.3,1976
19,320,Kayser-Roth,540.6,-10.6,1976
20,321,Thiokol,538.4,17.5,1976
21,322,Metromedia International,536.8,-17.6,1976
22,323,McGraw-Hill,536.5,33.1,1976
23,324,Hammermill Paper,535.4,16.4,1976
24,325,National Gypsum,534.5,22.2,1976
25,326,Digital Equipment,533.7,46.0,1976
26,327,Witco,527.7,13.9,1976
27,328,Scovill,526.8,-33.2,1976
28,329,WestPoint Stevens,526.0,19.8,1976
29,330,Pabst Brewing,525.0,20.7,1976
30,331,Indian Head,522.6,4.3,1976
31,332,Molson Coors Brewing,521.6,59.5,1976
32,333,Harsco,521.6,35.6,1976
33,334,Cluett Peabody,519.4,12.0,1976
34,335,Cook Industries,517.7,21.8,1976
35,336,Newmont Mining,516.5,52.9,1976
36,337,Outboard Marine,513.4,20.0,1976
37,338,M. Lowenstein,512.6,-17.7,1976
38,339,Baker Hughes,509.8,45.4,1976
39,340,Amsted Industries,508.7,34.5,1976
40,341,Sundstrand,508.7,22.0,1976
41,342,Potlatch,504.3,37.5,1976
42,343,I-T-E Imperial,503.7,17.4,1976
43,344,R.R. Donnelley & Sons,501.6,35.3,1976
44,345,Hunt International Resources,501.4,53.5,1976
45,346,Harris,501.0,0.9,1976
46,347,Anchor Hocking,493.6,21.7,1976
47,348,Cessna Aircraft,491.6,19.0,1976
48,349,Ward Foods,489.2,4.0,1976
49,350,Hartmarx,486.8,8.3,1976
50,351,Stokely-Van Camp,484.3,10.9,1976
51,352,Cyclops Industries,483.6,-6.8,1976
52,353,Figgie International,480.5,12.2,1976
53,354,MacMillan,477.3,3.0,1976
54,355,Tyco Laboratories,476.7,8.5,1976
55,356,Crown Central,475.3,5.5,1976
56,357,"Libby, McNeill & Libby",474.8,9.8,1976
57,358,Cooper Industries,473.2,31.1,1976
58,359,CF Industries,468.1,N.A.,1976
59,360,Rohr,468.1,-7.6,1976
60,361,Peavey,467.6,15.2,1976
61,362,Midland-Ross,466.4,21.1,1976
62,363,Thomas J. Lipton,465.5,24.6,1976
63,364,Chemetron,464.3,30.4,1976
64,365,Stanley Works,464.2,19.1,1976
65,366,Riviana Foods,463.7,11.8,1976
66,367,Cone Mills,462.3,24.2,1976
67,368,Fairmont Foods,461.2,6.2,1976
68,369,Pitney Bowes,460.9,26.0,1976
69,370,Square D,460.4,35.9,1976
70,371,Champion Spark Plug,458.2,46.7,1976
71,372,Becton Dickinson,456.0,33.8,1976
72,373,Bell & Howell,455.4,-5.8,1976
73,374,Inmont,451.6,11.6,1976
74,375,Westmoreland Coal,451.5,60.2,1976
75,376,Cincinnati Milacron,450.2,9.9,1976
76,377,National Service Industries,448.3,17.6,1976
77,378,Purex Industries,447.3,18.9,1976
78,379,Texasgulf,444.6,103.2,1976
79,380,Spencer Foods,444.3,1.8,1976
80,381,Southwest Forest Industries,442.9,2.0,1976
81,382,Hoerner Waldorf,441.2,28.2,1976
82,383,Tosco,437.9,-3.6,1976
83,384,Flintkote,435.3,12.4,1976
84,385,Willamette Industries,434.6,34.3,1976
85,386,Simmons,434.3,10.3,1976
86,387,Saxon Industries,434.3,5.8,1976
87,388,Sheller-Globe,430.4,14.8,1976
88,389,SuCrest,430.4,4.3,1976
89,390,Trane,427.1,15.0,1976
90,391,Ex-Cell-O,423.5,20.0,1976
91,392,Gardner-Denver,423.1,32.5,1976
92,393,Interstate Brands,422.0,6.3,1976
93,394,General Instrument,419.7,11.8,1976
94,395,Lubrizol,419.1,46.9,1976
95,396,American Bakeries,417.2,5.7,1976
96,397,UV Industries,417.0,24.4,1976
97,398,Miles Laboratories,413.8,15.4,1976
98,399,Parker Hannifin,411.2,19.3,1976
99,400,Consolidated Aluminum,411.1,-28.4,1976
0,401,Rath Packing,410.8,-6.6,1976
1,402,H.P. Hood,410.5,-3.0,1976
2,403,Cabot,410.1,-8.9,1976
3,404,AMP,409.6,27.8,1976
4,405,New York Times,408.9,12.8,1976
5,406,Reichhold Chemicals,407.9,15.9,1976
6,407,Questor,406.5,2.3,1976
7,408,Green Giant,405.8,8.8,1976
8,409,Dan River,404.4,-2.9,1976
9,410,Savannah Foods & Industries,401.6,16.3,1976
10,411,Dayco,401.5,8.8,1976
11,412,Cutler-Hammer,400.9,15.3,1976
12,413,VF,396.4,26.5,1976
13,414,Congoleum,395.9,9.6,1976
14,415,Cannon Mills,395.2,18.7,1976
15,416,Hobart,393.8,19.3,1976
16,417,Tecumseh Products,393.4,19.7,1976
17,418,Hygrade Food Products,388.6,5.3,1976
18,419,Norris Industries,387.4,18.0,1976
19,420,Louisiana-Pacific,386.7,16.7,1976
20,421,Alumax,383.8,20.7,1976
21,422,Kellwood,383.6,0.4,1976
22,423,Koehring,383.3,3.6,1976
23,424,Superior Oil,382.1,55.3,1976
24,425,Revere Copper & Brass,382.1,-31.3,1976
25,426,Joy Global,373.8,23.5,1976
26,427,Emhart,371.1,22.6,1976
27,428,McLouth Steel,365.8,5.7,1976
28,429,Ball,365.3,14.1,1976
29,430,Cyprus Amax Minerals,365.3,11.1,1976
30,431,Envirotech,364.7,6.9,1976
31,432,Cameron Iron Works,361.9,36.7,1976
32,433,Vulcan Materials,360.0,27.7,1976
33,434,American Hoist & Derrick,359.2,11.4,1976
34,435,Signode,357.6,17.1,1976
35,436,Kewanee Industries,357.4,27.7,1976
36,437,Gannett,355.4,38.5,1976
37,438,Dairylea Cooperative,355.1,N.A.,1976
38,439,Brockway,354.6,17.8,1976
39,440,Federal-Mogul,354.2,4.0,1976
40,441,Collins & Aikman,354.1,2.5,1976
41,442,Bucyrus-Erie,353.1,29.9,1976
42,443,Amtel,349.4,6.0,1976
43,444,Hughes Tool,348.0,43.4,1976
44,445,Eagle-Picher Industries,347.1,18.7,1976
45,446,Thiokol,345.1,14.3,1976
46,447,Robertson-Ceco,344.0,16.4,1976
47,448,Hyster,342.3,10.1,1976
48,449,Mapco,342.2,49.3,1976
49,450,Bluebird,341.5,3.6,1976
50,451,Twentieth Century-Fox Film,340.6,22.7,1976
51,452,Wm. Wrigley Jr.,340.5,27.5,1976
52,453,Arvin Industries,340.3,4.8,1976
53,454,Handy & Harman,338.4,12.7,1976
54,455,Warnaco Group,337.9,0.4,1976
55,456,Keystone Consolidated Industries,337.6,11.4,1976
56,457,Tektronix,336.6,26.3,1976
57,458,Inland Container,335.2,29.5,1976
58,459,Bausch & Lomb,333.9,16.2,1976
59,460,Federal Paper Board,333.7,16.6,1976
60,461,Insilco,332.8,14.7,1976
61,462,Wheelabrator-Frye,332.2,14.6,1976
62,463,Columbia Pictures Industries,332.1,10.5,1976
63,464,Hanna Mining,331.6,47.4,1976
64,465,NVF,331.2,12.7,1976
65,466,Mattel,329.3,-19.9,1976
66,467,General Infractories,329.0,9.3,1976
67,468,Gerber Products,328.1,16.3,1976
68,469,Acco Industries,327.8,6.7,1976
69,470,GK Technologies,326.6,21.7,1976
70,471,Curtiss-Wright,326.4,14.3,1976
71,472,Dover,326.4,24.5,1976
72,473,Ferro,323.7,15.2,1976
73,474,Idle Wild Foods,323.2,1.9,1976
74,475,Talley Industries,321.6,8.7,1976
75,476,Jonathan Logan,320.8,6.2,1976
76,477,Seaboard,320.5,1.6,1976
77,478,International Systems & Controls,318.4,6.3,1976
78,479,Roper,317.5,5.4,1976
79,480,Briggs & Stratton,316.3,18.3,1976
80,481,Phillips-Van Heusen,316.2,-1.3,1976
81,482,Hanes,314.8,10.6,1976
82,483,Nalco Chemical,313.9,32.1,1976
83,484,Masco,310.9,33.7,1976
84,485,Varian Associates,310.4,7.7,1976
85,486,Washington Post,309.3,12.0,1976
86,487,United Refining,307.5,5.6,1976
87,488,Household Manufacturing,306.6,8.4,1976
88,489,Belco Petroleum,306.3,21.2,1976
89,490,Foxboro,305.3,20.1,1976
90,491,Nashua,304.9,2.8,1976
91,492,Northwestern Steel & Wire,304.3,26.8,1976
92,493,Fieldcrest Cannon,303.3,9.9,1976
93,494,Peabody International,302.7,10.7,1976
94,495,Flavorland Industries,301.8,-0.4,1976
95,496,Fleetwood Enterprises,300.5,5.1,1976
96,497,Wean United,298.5,6.1,1976
97,498,Applera,297.4,19.1,1976
98,499,Monfort of Colorado,297.4,9.4,1976
99,500,Ecolab,297.2,15.7,1976
0,1,Exxon Mobil,48630.8,2641.0,1977
1,2,General Motors,47181.0,2902.8,1977
2,3,Ford Motor,28839.6,983.1,1977
3,4,Texaco,26451.9,869.7,1977
4,5,Mobil,26062.6,942.5,1977
5,6,ChevronTexaco,19434.1,880.1,1977
6,7,Gulf Oil,16451.0,816.0,1977
7,8,Intl. Business Machines,16304.3,2398.1,1977
8,9,General Electric,15697.3,930.6,1977
9,10,Chrysler,15537.8,422.6,1977
10,11,ITT Industries,11764.1,494.5,1977
11,12,Amoco,11532.0,893.0,1977
12,13,Shell Oil,9230.0,705.8,1977
13,14,U.S. Steel,8604.2,410.3,1977
14,15,Atlantic Richfield,8462.5,575.2,1977
15,16,DuPont,8361.0,459.3,1977
16,17,Conoco,7957.6,460.0,1977
17,18,AT&T Technologies,6930.9,217.4,1977
18,19,Procter & Gamble,6512.7,401.1,1977
19,20,Tenneco Automotive,6389.2,383.5,1977
20,21,Union Carbide,6345.7,441.2,1977
21,22,CBS,6145.2,223.2,1977
22,23,Goodyear Tire & Rubber,5791.5,122.0,1977
23,24,ConocoPhillips,5697.5,411.7,1977
24,25,Dow Chemical,5652.1,612.8,1977
25,26,Occidental Petroleum,5525.5,183.7,1977
26,27,Navistar International,5488.1,174.1,1977
27,28,Eastman Kodak,5438.2,650.6,1977
28,29,Sunoco,5387.1,356.2,1977
29,30,Unocal,5350.7,268.8,1977
30,31,RCA,5328.5,177.4,1977
31,32,Esmark,5300.6,82.5,1977
32,33,Bethlehem Steel,5248.0,168.0,1977
33,34,Rockwell Automation,5220.1,123.4,1977
34,35,United Technologies,5166.3,157.4,1977
35,36,Caterpillar,5042.3,383.2,1977
36,37,Kraft,4976.6,135.7,1977
37,38,Beatrice,4690.6,153.1,1977
38,39,LTV,4496.9,30.7,1977
39,40,Xerox,4403.9,358.9,1977
40,41,Nabisco Group Holdings,4291.1,353.9,1977
41,42,Monsanto,4270.2,366.3,1977
42,43,Ashland,4086.8,136.0,1977
43,44,General Foods,3978.3,150.4,1977
44,45,Citgo Petroleum,3964.6,217.0,1977
45,46,Firestone Tire & Rubber,3939.1,96.0,1977
46,47,Boeing,3918.5,102.9,1977
47,48,Amerada Hess,3914.6,152.6,1977
48,49,Greyhound,3727.3,77.1,1977
49,50,Sealed Air,3615.2,131.9,1977
50,51,McDonnell Douglas,3543.7,108.9,1977
51,52,International Paper,3540.6,253.6,1977
52,53,3M,3514.3,338.5,1977
53,54,Colgate-Palmolive,3511.5,149.2,1977
54,55,Marathon Oil,3488.4,195.8,1977
55,56,Continental Group,3458.2,118.3,1977
56,57,Gulf & Western Industries,3395.6,200.2,1977
57,58,Ralston Purina,3393.8,125.9,1977
58,59,Borden Chemical,3381.1,112.8,1977
59,60,Litton Industries,3365.4,28.3,1977
60,61,Lockheed Martin,3202.7,38.7,1977
61,62,Sperry,3202.6,145.3,1977
62,63,ARMCO,3151.0,123.7,1977
63,64,American Can,3142.5,100.9,1977
64,65,Altria Group,3134.5,265.7,1977
65,66,Deere,3133.8,241.6,1977
66,67,Getty Oil,3058.7,258.5,1977
67,68,Georgia-Pacific,3038.0,215.3,1977
68,69,Coca-Cola,3032.8,285.0,1977
69,70,Bendix,2947.0,104.7,1977
70,71,TRW,2929.0,133.1,1977
71,72,Alcoa,2924.4,143.8,1977
72,73,BP America,2916.4,136.9,1977
73,74,Champion International,2910.5,103.1,1977
74,75,Weyerhaeuser,2868.4,306.0,1977
75,76,National Intergroup,2840.5,85.7,1977
76,77,PepsiCo,2727.5,136.0,1977
77,78,Sara Lee,2726.5,89.5,1977
78,79,Bestfoods,2695.8,122.0,1977
79,80,Fortune Brands,2671.6,122.0,1977
80,81,General Mills,2645.0,100.5,1977
81,82,Honeywell Intl.,2629.6,116.8,1977
82,83,Textron,2627.2,121.1,1977
83,84,Owens-Illinois,2571.7,178.3,1977
84,85,General Dynamics,2553.5,99.6,1977
85,86,Republic Steel,2545.6,65.9,1977
86,87,Johnson & Johnson,2522.5,205.4,1977
87,88,Honeywell,2495.3,113.1,1977
88,89,Wyeth,2471.7,277.9,1977
89,90,Raytheon,2462.8,85.2,1977
90,91,Signal Companies,2451.6,64.8,1977
91,92,Ryerson Tull,2388.2,104.0,1977
92,93,Warner-Lambert,2349.2,159.7,1977
93,94,American Motors,2315.5,-46.3,1977
94,95,Uniroyal,2314.8,20.1,1977
95,96,NCR,2312.7,95.6,1977
96,97,FMC,2298.4,80.2,1977
97,98,Burlington Industries Equity,2284.6,104.9,1977
98,99,Chiquita Brands Intl.,2276.6,16.3,1977
99,100,PPG Industries,2254.8,151.5,1977
0,101,Dresser Industries,2232.2,156.8,1977
1,102,CBS,2230.6,164.0,1977
2,103,Carnation,2167.0,104.4,1977
3,104,Crown Zellerbach,2126.0,97.6,1977
4,105,Singer,2125.5,74.2,1977
5,106,Celanese,2123.0,69.0,1977
6,107,American Cyanamid,2093.8,135.8,1977
7,108,Reynolds Metals,2084.4,75.1,1977
8,109,Iowa Beef Processors,2077.2,28.8,1977
9,110,Nabisco Brands,2027.3,77.0,1977
10,111,GenCorp,2022.5,104.7,1977
11,112,Goodrich,1996.0,15.8,1977
12,113,Bristol-Myers Squibb,1986.4,156.8,1977
13,114,Kerr-McGee,1955.1,134.1,1977
14,115,Teledyne,1937.6,134.9,1977
15,116,OfficeMax,1931.5,100.8,1977
16,117,Ingersoll-Rand,1921.6,106.9,1977
17,118,Pfizer,1887.5,159.9,1977
18,119,H.J. Heinz,1882.4,74.0,1977
19,120,Unisys,1870.8,185.9,1977
20,121,BorgWarner,1862.4,81.7,1977
21,122,Kaisertech,1851.9,44.5,1977
22,123,Farmland Industries,1840.4,N.A.,1977
23,124,Central Soya,1836.8,37.7,1977
24,125,Combustion Engineering,1830.9,54.2,1977
25,126,Standard Brands,1810.0,67.6,1977
26,127,Eaton,1808.1,90.9,1977
27,128,North American Philips,1723.6,60.2,1977
28,129,Babcock & Wilcox,1691.8,53.1,1977
29,130,Whitman,1688.5,60.8,1977
30,131,Norton Simon,1683.8,92.4,1977
31,132,Merck,1661.5,255.5,1977
32,133,Texas Instruments,1658.6,97.4,1977
33,134,American Standard,1654.2,70.9,1977
34,135,St. Regis,1642.1,91.3,1977
35,136,Campbell Soup,1634.8,101.0,1977
36,137,Associated Milk Producers,1623.3,N.A.,1977
37,138,Archer Daniels Midland,1620.8,65.1,1977
38,139,Whirlpool,1620.4,76.3,1977
39,140,Lykes,1619.7,19.1,1977
40,141,Mead,1599.3,88.8,1977
41,142,Hercules,1596.0,106.8,1977
42,143,Kimberly-Clark,1585.3,121.3,1977
43,144,Fruit of the Loom,1568.9,117.6,1977
44,145,Ogden,1557.5,48.3,1977
45,146,Allis-Chalmers,1519.3,58.7,1977
46,147,Emerson Electric,1505.0,116.8,1977
47,148,Grumman,1502.1,27.2,1977
48,149,Motorola,1494.1,85.4,1977
49,150,Gillette,1491.5,77.6,1977
50,151,Anaconda,1481.1,16.7,1977
51,152,Dart Industries,1476.2,101.6,1977
52,153,Fruehauf,1473.3,48.3,1977
53,154,Quaker Oats,1473.1,53.1,1977
54,155,Dana,1444.4,89.2,1977
55,156,Anheuser-Busch,1441.1,55.4,1977
56,157,Avon Products,1434.4,168.4,1977
57,158,Del Monte Foods,1430.4,53.2,1977
58,159,Pillsbury,1421.9,41.6,1977
59,160,J.P. Stevens,1421.4,41.1,1977
60,161,Brink's,1415.5,146.4,1977
61,162,Agway,1415.4,N.A.,1977
62,163,Kellogg,1385.4,130.4,1977
63,164,Olin,1376.5,72.6,1977
64,165,Furniture Brands Intl.,1376.4,67.0,1977
65,166,Scott Paper,1373.8,73.2,1977
66,167,Maxus Energy,1356.6,140.0,1977
